,overall_score,Date_Of_Joining,Skill,Year_of_Experience
0,94,2020-07-02 19:07:25.297316,"['AI', 'Data Science', 'Web Developer']",23
1,77,2020-07-12 19:07:25.297316,"['AI', 'Digital Marketing', 'Frontend Developer']",28
2,88,2020-07-10 19:07:25.297316,"['Business Intelligence', 'Digital Marketing', 'UI/UX']",27
3,87,2020-07-13 19:07:25.297316,"['Machine Learning', 'Backend Developer', 'UI/UX']",36
4,96,2020-07-15 19:07:25.297316,"['AI', 'Backend Developer', 'UI/UX']",27
5,99,2020-07-17 19:07:25.297316,"['Machine Learning', 'Data Science', 'Web Developer']",29
6,87,2020-07-24 19:07:25.297316,"['Business Intelligence', 'Data Science', 'Frontend Developer']",32
7,80,2020-07-14 19:07:25.297316,"['AI', 'Backend Developer', 'Frontend Developer']",25
8,98,2020-07-17 19:07:25.297316,"['Machine Learning', 'Backend Developer', 'UI/UX']",25
9,86,2020-07-19 19:07:25.297316,"['Machine Learning', 'Data Science', 'Frontend Developer']",28
10,75,2020-07-27 19:07:25.297316,"['Machine Learning', 'Data Science', 'UI/UX']",32
11,87,2020-07-23 19:07:25.297316,"['AI', 'Data Science', 'Web Developer']",37
12,93,2020-07-25 19:07:25.297316,"['AI', 'Data Science', 'Web Developer']",29
13,77,2020-07-11 19:07:25.297316,"['Business Intelligence', 'Backend Developer', 'Web Developer']",38
14,82,2020-07-07 19:07:25.297316,"['AI', 'Data Science', 'Frontend Developer']",22
15,95,2020-07-04 19:07:25.297316,"['AI', 'Backend Developer', 'UI/UX']",34
16,92,2020-07-17 19:07:25.297316,"['Business Intelligence', 'Digital Marketing', 'Frontend Developer']",26
17,99,2020-07-15 19:07:25.297316,"['Business Intelligence', 'Digital Marketing', 'Web Developer']",28
18,87,2020-06-30 19:07:25.297316,"['Business Intelligence', 'Backend Developer', 'Web Developer']",34
19,91,2020-07-04 19:07:25.297316,"['Machine Learning', 'Backend Developer', 'Frontend Developer']",34
20,99,2020-07-07 19:07:25.297316,"['Business Intelligence', 'Digital Marketing', 'UI/UX']",36
21,96,2020-07-12 19:07:25.297316,"['Machine Learning', 'Data Science', 'UI/UX']",35
22,99,2020-07-08 19:07:25.297316,"['Machine Learning', 'Data Science', 'UI/UX']",26
23,87,2020-07-02 19:07:25.297316,"['Machine Learning', 'Backend Developer', 'Web Developer']",29
24,96,2020-07-18 19:07:25.297316,"['Machine Learning', 'Data Science', 'Frontend Developer']",28
25,92,2020-07-08 19:07:25.297316,"['Machine Learning', 'Backend Developer', 'Web Developer']",25
26,80,2020-07-05 19:07:25.297316,"['Business Intelligence', 'Data Science', 'UI/UX']",37
27,75,2020-07-05 19:07:25.297316,"['AI', 'Backend Developer', 'Web Developer']",31
28,88,2020-07-06 19:07:25.297316,"['Business Intelligence', 'Data Science', 'Web Developer']",28
29,78,2020-07-03 19:07:25.297316,"['Machine Learning', 'Backend Developer', 'Web Developer']",22
30,86,2020-07-05 19:07:25.297316,"['Machine Learning', 'Data Science', 'UI/UX']",39
31,92,2020-07-18 19:07:25.297316,"['Machine Learning', 'Data Science', 'Frontend Developer']",37
