,QUE,OPT,ANS
0,"Find the greatest number that will divide 355, 54 and 103 so as to leave the same remainder in each case","['4', '7', '9', '13']",1
1,"Six bells commence tolling together and toll at intervals of 3, 6, 9, 12, 15 and 18 seconds respectively. In 60 minutes, how many times do they toll together ?","['10', '20', '21', '25']",2
2,The smallest 5 digit number exactly divisible by 11 is:,"['11121', '11011', '10010', '11000']",2
3,What decimal of 10 hours is a minute?,"['0.025', '0.256', '0.0027', '0.00126']",2
4,"‘A’ can do a work in 10 days and ‘B’ in 15 days. If they work on it together for 3 days, then the work that is left is :","['10%', '20%', '40%', '50%']",3
5,"A pump can fill a tank with water in 1 hour. Because of a leak, it took 1.5 hours to fill the tank. The leak can drain all the water of the tank in:","['2 hours', '2.5 hours', '3 hours', '3.5 hours']",2
6,"2 pipes A and B can fill a tank in 20 minutes and 30 minutes respectively. Both pipes are opened. The tank will be filled in just 15 minutes, if the B is turned off after:","['5 min', '6.5 min', '7 min', '7.5 min']",3
7,Which is not the prime number?,"['43', '57', '73', '101']",1
8,"If the average of four consecutive odd numbers is 12, find the smallest of these numbers?","['5', '7', '9', '11']",2
9,"Two numbers are in the ratio of 2:9. If their H. C. F. is 19, numbers are:","['6, 27', '8, 36', '38, 171', '20, 90']",2
10,"A person employed a group of 20 men for a construction job. These 20 men working 8 hours a day can complete the job in 28 days. The work started on time but after 18 days, it was observed that two-thirds of the work was still pending. To avoid penalty and complete the work on time, the employer had to employ more men and also increase the working hours to 9 hours a day. Find the additional number of men employed if the efficiency of all men is the same.","['40', '44', '64', '80']",1
11,"Two outlet pipes A and B are connected to a full tank. Pipe A alone can empty the tank in 10 minutes and pipe B alone can empty the tank in 30 minutes. If both are opened together, how much time will it take to empty the tank completely?","['7 minutes', '7 minutes 30 seconds', '6 minutes', '6 minutes 30 seconds']",1
12,"Three pipes A, B and C are connected to a tank. Working alone, they require 10 hours, 20 hours and 30 hours respectively. After some time, A is closed and after another 2 hours, B is also closed. C works for another 14 hours so that the tank gets filled completely. Find the time (in hours) after which pipe A was closed.","['1', '1.5', '2', '3']",2
13,Two cars with speed of 15 kmph and 30 kmph respectively are 100 km apart and face each other. The distance between them 5 minutes before crossing is,"['2.75', '3.75', '4.75', '5.75']",1
14,"If the average of 5 consecutive even numbers is 10, find the middle number?","['4', '8', '2', '10']",3
15," Two numbers are in the ratio of 2:9. If their H. C. F. is 19, numbers are:","['6, 27', '8, 36', '38, 171', '20, 90']",2
