,QUE,OPT,ANS
0,"Which one of the following options is the closest in meaning to the word given below: ""Nadir""","['Highest', 'Lowest', 'Medium', 'Integration']",1
1,Complete the sentence: Universalism is to particularism as diffuseness is to _________________,"['specificity', 'neutrality', 'generality', 'adaptation']",0
2,"Were you a bird, you ______________ in the sky","['would fly', 'shall fly', 'should fly', 'shall have flown']",0
3,Choose the grammatically INCORRECT sentence:,"['He is of Asian origin', 'They belonged to Africa', 'She is an European', 'They migrated from India to Australia']",2
4,"After several defeats in wars, Robert Bruce went in exile and wanted to commit suicide. Just before committing suicide, he came across a spider attempting tirelessly to have its net. Time and again, the spider failed but that did not deter it to refrain from making attempts. Such attempts by the spider made Bruce curious. Thus, Bruce started observing the near-impossible goal of the spider to have the net. Ultimately, the spider succeeded in having its net despite several failures. Such act of the spider encouraged Bruce not to commit suicide. And then, Bruce went back again and won many a battle, and the rest is history. Which one of the following assertions is best supported by the above information?","['Failure is the pillar of success', 'Honesty is the best policy', 'Life begins and ends with adventures', 'No adversity justifies giving up hope']",3
5,Choose the most appropriate alternative from the options given below to complete the following sentence: Despite several __________ the mission succeeded in its attempt to resolve the conflict.,"['attempts', 'setbacks', 'meetings', 'delegations']",1
6,Which one of the following options is the closest in meaning to the word given below: Mitigate,"['Diminish', 'Divulge', 'Dedicate', 'Denote']",0
7,Select a word from the given options that fit the blank most appropriately: Beauty is in the eye ____ the beholder,"['to', 'with', 'in', 'of']",3
8,Select the correct SYNONYM for: Rhubarb,"['Common', 'Obstinate', 'Quarrel', 'Join']",2
9,Select the correct SYNONYM for: Plant,"['Law', 'Near', 'Put', 'Limit']",2
10,Select the correct ANTONYM for: Limit,"['Bar', 'Freedom', 'Occur', 'Emerge']",1
11,Choose the most appropriate word(s) from the options given below to complete the following sentence. I contemplated ____________ Singapore for my vacation but decided against it.,"['to visit', 'having to visit', 'visiting', 'for a visit']",2
12,"Choose the most appropriate word from the options given below to complete the following sentence: “If you are trying to make a strong impression on your audience, you cannot do so by being understated, tentative or _____________.”","['Hyperbolic', 'Restrained', 'Argumentative', 'Indifferent']",1
13,"Few school curricula include a unit on how to deal with bereavement and grief, and yet all students at some point in their lives suffer from losses through death and parting. Based on the above passage which topic would not be included in a unit on bereavement?","['how to write a letter of condolence', 'what emotional stages are passed through in the healing process', 'what the leading causes of death are', 'Show to give support to a grieving friend']",2
14,Select the correct ANTONYM for: Begin,"['Cease', 'Obstinate', 'Commence', 'Repress']",0
15,Select the correct SYNONYM for: Check,"['Aid', 'Help', 'Permission', 'Control']",3
16,Select the correct ANTONYM for: Help,"['Advice', 'Use', 'Harm', 'Succor']",2
17,"In a press meet on the recent scam, the minister said, “The buck stops here”. What did the minister convey by the statement?","['He wants all the money', 'He will return the money', 'He will assume final responsibility', 'He will resist all enquiries']",2
